language,books,url,title,description,theme
eng,jud,https://youtu.be/6UoCmakZmys,Overview: Jude,"Watch our overview video on the book of Jude, which breaks down the literary design of the book and its flow of thought. In this book, Jude confronts corrupt teachers who distort the message about his brother Jesus and lead others astray.",New Testament
eng,rev,https://youtu.be/5nvVVcYD-0w,Overview: Revelation Ch. 1-11,"Watch our overview video on the book of Revelation, which breaks down the literary design of the book and its flow of thought. In Revelation, John's visions reveal that Jesus has overcome evil by his death and resurrection, and will return one day as the true king of the world.",New Testament
eng,rev,https://youtu.be/QpnIrbq2bKo,Overview: Revelation Ch. 12-22,"Watch our overview video on the book of Revelation, which breaks down the literary design of the book and its flow of thought. In Revelation, John's visions reveal that Jesus has overcome evil by his death and resurrection, and will return one day as the true king of the world.",New Testament
hin,OT,https://youtu.be/V2RNkOCjRRY,अवलोकन: पुराने नियम /तानाक,हम चाहते हैं कि आप बिना भटके या छोड़े पूरी बाइबल पढ़ें। हम बाइबल की हर पुस्तक का वीडियो उपलब्ध करते हैं जिसमें उसकी संरचना और योजना की रुपरेखा होती है और बताया जाता है कि वह कैसे सम्पूर्ण बाइबल की कहानी में उपयुक्त ठहरती है।,पुराना नियम
hin,gen,https://youtu.be/rhL-63rVmW0,अवलोकन: उत्पत्ति 1-11,"उत्पत्ति की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना   और विचार के प्रवाह को विभाजित करता है। उत्पत्ति पुस्तक में, परमेश्वर उनकी निरंतर असफलता और मूर्खता के बावजूद, अब्राहम के परिवार के माध्यम से विद्रोही मानवता को आशीष देने का वादा करते है।",पुराना नियम
hin,gen,https://youtu.be/4nEOAbd1Lzg,अवलोकन: उत्पत्ति 12-50,"उत्पत्ति की पुस्तक पर बने हमारे "" बाइबल पढ़ें वीडियो""  देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता हैं। उत्पत्ति पुस्तक में, परमेश्वर एक अच्छी दुनिया बनाकर मनुष्यो को राज्य करने के लिए प्रेरित करते हैं, लेकिन मनुष्य बुराई फैलाकर सब कुछ नष्ट कर देते हैं।",पुराना नियम
hin,exo,https://youtu.be/6CzYOcudkPU,अवलोकन: निर्गमन 1-18,"निर्गमन की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को तोड़ते है। निर्गमन पुस्तक में, परमेश्वर ने इज़राइल के लोगो को मिस्र की गुलामी से बचाया और फिरौन की बुराई तथा अन्याय का सामना किया।",पुराना नियम
hin,exo,https://youtu.be/bDKKiIB1Y_8,अवलोकन: निर्गमन 19-40,"निर्गमन  की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। निर्गमन पुस्तक में, परमेश्वर इज़राइलियों को एक वाचा में आमंत्रित करते हैं और उनके बीच वास करने के लिए आते हैं, लेकिन इज़राइल विद्रोह करता है और सम्बन्धों को खंडित करता है।",पुराना नियम
hin,lev,https://youtu.be/FMmRxdjtA5c,अवलोकन: लैव्यव्यवस्था,"लैव्यव्यवस्था की पुस्तक पर बने हमारे ""बाइबिल पढ़े"" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और विचार के प्रवाह को तोड़ते है। लैव्यव्यवस्था पुस्तक में, इजरायल के पवित्र परमेश्वर  ने अनुष्ठानों और पवित्र संस्थानों की एक श्रृंखला के माध्यम से लोगो के पाप के बावजूद उन्हें अपनी उपस्थिति में रहने के लिए आमंत्रित किया।",पुराना नियम
hin,num,https://youtu.be/bjfZf8DRRSo,अवलोकन: गिनती,"गिनती की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। गिनती पुस्तक में, इज़राइल जंगल से होकर अब्राहम से प्रतिज्ञा किए गए देश के मार्ग पर यात्रा करता है। जहाँ उनके दोहराए विद्रोह की मुलाकात परमेश्वर के न्याय और दया से होती है।",पुराना नियम
